point,temps_s,stable,montee_charge,critique,batterie_faible,nominal
109,218,9,10,24,11,9
110,220,7,8,20,10,18
111,222,9,8,17,9,15
112,224,8,7,16,8,14
113,226,6,6,14,10,18
114,228,5,6,13,8,17
115,230,5,5,12,7,14
116,232,5,5,10,7,12
117,234,5,6,11,9,14
118,236,5,6,8,10,12
119,238,5,5,8,8,11
120,240,5,5,8,7,10
121,242,4,5,7,6,9
122,244,4,6,7,5,8
123,246,4,6,6,5,8
124,248,3,5,5,5,7
125,250,3,4,11,14,7
126,252,4,6,13,15,10
127,254,4,5,11,12,9
128,256,4,6,10,11,7
129,258,4,5,10,10,7
130,260,4,4,9,11,7
131,262,4,4,7,15,6
132,264,3,4,6,14,6
133,266,3,3,6,12,5
134,268,3,3,6,10,12
135,270,4,5,7,12,13
136,272,3,4,7,10,11
137,274,3,4,7,13,10
138,276,3,5,8,11,9
139,278,3,5,9,9,9
140,280,2,4,8,9,8
141,282,3,4,8,9,8
142,284,3,12,8,8,7
143,286,3,11,7,8,6
144,288,4,12,9,10,21
145,290,3,11,10,10,17
146,292,3,10,10,9,16
147,294,3,9,12,8,14
148,296,3,8,10,8,12
149,298,3,7,8,8,10
150,300,3,6,9,7,9
151,302,2,6,8,7,8
152,304,2,6,7,6,21
153,306,4,7,10,9,25
154,308,3,6,8,8,22
155,310,3,6,10,8,18
156,312,3,5,8,8,15
157,314,3,6,7,7,13
158,316,3,5,7,7,13
159,318,3,11,6,6,12
160,320,5,10,6,6,10
161,322,4,8,7,6,21
162,324,5,9,10,8,21
163,326,5,9,20,10,18
164,328,4,8,17,9,16
165,330,4,7,29,8,24
166,332,4,6,28,7,20
167,334,3,6,24,7,19
168,336,3,6,20,7,17
169,338,3,5,17,6,14
170,340,3,5,14,6,12
171,342,4,6,16,9,13
172,344,4,6,15,8,10
173,346,4,6,12,8,9
174,348,3,6,10,8,8
175,350,3,5,9,7,8
176,352,4,5,17,6,8
177,354,5,5,14,5,8
178,356,4,5,12,4,7
179,358,4,5,11,5,6
180,360,5,6,12,8,9
181,362,4,6,20,8,7
182,364,4,5,18,8,6
183,366,4,5,15,8,6
184,368,4,5,13,11,6
185,370,4,8,12,11,6
186,372,8,8,10,10,5
187,374,7,7,9,9,4
188,376,6,6,9,8,4
189,378,6,7,11,10,6
190,380,7,8,10,10,5
191,382,7,7,9,8,6
192,384,6,7,9,17,6
193,386,5,7,8,15,6
194,388,5,6,9,12,5
195,390,4,6,8,11,17
196,392,4,5,7,9,15
197,394,4,5,5,10,12
198,396,5,15,8,11,13
199,398,4,13,7,11,11
200,400,4,11,7,10,10
201,402,4,11,7,8,11
202,404,4,9,6,9,15
203,406,4,8,5,8,12
204,408,4,8,4,8,10
205,410,3,7,4,7,16
206,412,3,7,5,8,14
207,414,4,8,15,10,15
208,416,4,7,13,9,17
209,418,3,7,11,12,14
210,420,8,7,9,11,12
211,422,7,6,9,10,9
212,424,6,6,8,8,8
213,426,5,5,6,8,6
214,428,4,5,8,7,6
215,430,9,5,7,6,6
216,432,8,7,10,9,9
217,434,7,6,8,12,7
218,436,6,6,7,9,19
219,438,5,5,6,9,16
220,440,5,5,6,8,15
221,442,4,5,6,7,15
222,444,4,4,5,7,12
223,446,4,5,5,7,10
224,448,4,5,5,6,9
225,450,5,7,9,8,11
226,452,5,6,8,7,10
227,454,9,6,7,7,9
228,456,8,6,6,7,9
229,458,7,6,7,6,9
230,460,6,7,8,6,9
231,462,6,6,8,4,9
232,464,5,6,6,4,8
233,466,5,5,6,4,8
234,468,5,7,17,7,10
235,470,5,7,14,15,10
236,472,4,7,12,18,8
237,474,4,6,24,15,9
238,476,4,6,20,26,7
239,478,3,6,17,22,6
240,480,3,8,16,18,6
241,482,3,8,14,15,5
242,484,4,7,12,11,5
243,486,4,8,14,18,7
244,488,4,7,26,15,7
245,490,4,7,22,13,7
246,492,5,7,19,11,6
247,494,5,6,16,10,5
248,496,5,6,13,9,5
249,498,5,14,12,8,5
250,500,4,12,10,7,5
251,502,6,10,9,6,5
252,504,6,11,22,10,8
253,506,5,10,19,9,6
254,508,5,9,16,8,6
255,510,4,9,14,7,6
256,512,4,8,12,11,6
257,514,4,8,11,11,5
258,516,3,7,9,10,6
259,518,3,13,9,9,5
260,520,3,12,8,8,5
261,522,4,17,10,22,8
262,524,6,14,9,19,8
263,526,6,13,8,17,14
264,528,5,11,14,15,12
265,530,5,9,11,13,11
266,532,5,8,9,11,10
267,534,4,8,15,11,10
268,536,3,7,13,12,9
269,538,4,6,11,11,8
270,540,5,8,12,12,11
271,542,7,8,24,11,23
272,544,7,7,20,19,19
273,546,6,7,17,16,15
274,548,6,7,15,14,13
275,550,5,7,12,12,12
276,552,5,12,10,11,10
277,554,5,11,8,10,9
278,556,4,15,8,14,8
279,558,5,15,10,15,9
280,560,4,14,10,19,8
281,562,6,12,9,16,7
282,564,5,11,9,27,8
283,566,5,10,8,24,6
284,568,4,9,8,20,6
285,570,4,9,8,17,6
286,572,4,9,6,15,6
287,574,4,8,7,13,6
288,576,5,9,9,14,9
289,578,5,12,8,20,21
290,580,4,12,7,19,19
291,582,4,11,11,29,16
292,584,4,9,11,24,14
293,586,4,8,10,21,12
294,588,3,8,9,18,12
295,590,3,7,9,16,10
296,592,3,7,8,27,9
297,594,4,8,10,25,12
298,596,4,8,9,22,10
299,598,4,8,8,32,22
300,600,4,7,11,27,21
301,602,4,7,10,24,19
302,604,3,7,10,20,16
303,606,3,6,8,16,14
304,608,3,6,8,15,11
305,610,3,6,8,15,11
306,612,4,8,10,15,12
307,614,3,8,10,13,10
308,616,3,7,9,11,9
309,618,4,7,9,10,8
310,620,3,8,8,10,10
311,622,3,8,8,9,9
312,624,3,8,8,8,8
313,626,3,7,6,7,10
314,628,3,7,6,7,9
315,630,4,9,18,18,12
316,632,4,9,14,15,10
317,634,4,7,14,13,10
318,636,4,8,12,11,9
319,638,8,7,10,11,8
320,640,7,13,9,9,8
321,642,6,11,14,9,7
322,644,6,10,13,8,7
323,646,5,9,12,22,5
324,648,5,10,13,22,8
325,650,4,9,11,19,7
326,652,4,9,9,15,8
327,654,3,8,8,13,8
328,656,6,8,6,12,7
329,658,5,7,6,11,7
330,660,5,7,6,9,11
331,662,4,7,5,8,9
332,664,5,7,4,9,7
333,666,6,9,6,11,9
334,668,5,9,6,10,8
335,670,4,9,6,9,8
336,672,4,11,6,8,7
337,674,3,10,5,8,7
338,676,3,9,5,7,7
339,678,3,9,4,8,20
340,680,3,9,4,8,16
341,682,3,8,5,8,13
342,684,8,10,8,10,14
343,686,7,9,7,8,12
344,688,6,12,7,7,11
345,690,6,11,7,7,10
346,692,6,9,6,6,9
347,694,5,9,6,5,8
348,696,5,8,6,6,7
349,698,4,8,6,6,7
350,700,4,14,7,7,6
351,702,5,14,8,9,8
352,704,5,13,8,9,7
353,706,5,12,8,8,10
354,708,4,10,7,7,9
355,710,4,10,6,7,8
356,712,3,9,5,6,8
357,714,3,8,5,6,8
358,716,3,8,5,6,7
359,718,3,8,4,5,12
360,720,4,9,7,8,14
361,722,4,9,7,8,11
362,724,3,8,5,9,9
363,726,3,8,5,7,8
364,728,3,7,5,7,7
365,730,3,7,5,6,7
366,732,3,7,7,6,17
367,734,3,7,7,7,14
368,736,3,6,6,7,12
369,738,4,8,8,10,17
370,740,3,8,8,22,15
371,742,8,7,8,20,19
372,744,7,7,6,17,17
373,746,7,7,5,15,15
374,748,6,6,5,13,13
375,750,5,10,4,11,11
376,752,5,9,4,23,10
377,754,5,9,5,20,9
378,756,5,10,8,20,11
379,758,5,10,7,17,10
380,760,4,13,6,14,10
381,762,4,15,6,12,9
382,764,4,13,6,10,8
383,766,4,12,6,9,7
384,768,3,16,6,8,7
385,770,3,14,6,8,20
386,772,3,12,6,8,16
387,774,4,13,9,10,18
388,776,4,12,8,9,28
389,778,3,11,16,9,24
390,780,4,9,15,8,21
391,782,3,9,14,8,18
392,784,3,8,13,8,15
393,786,3,8,10,18,16
394,788,3,7,10,21,14
395,790,4,7,9,20,12
396,792,5,9,10,20,16
397,794,4,9,9,19,14
398,796,4,9,20,17,12
399,798,4,9,18,15,11
400,800,4,9,15,13,10
401,802,3,9,16,11,9
402,804,8,8,14,9,8
403,806,7,8,12,9,7
404,808,6,8,10,8,6
405,810,7,9,18,9,9
406,812,6,9,16,8,8
407,814,5,8,13,8,8
408,816,5,8,11,8,8
409,818,4,15,10,7,7
410,820,4,19,9,7,15
411,822,4,17,7,6,13
412,824,6,17,7,6,12
413,826,5,16,6,6,10
414,828,6,23,13,9,12
415,830,6,22,12,8,10
416,832,5,19,11,15,9
417,834,4,17,10,13,8
418,836,4,15,9,12,7
419,838,4,14,8,10,7
420,840,8,13,7,9,7
421,842,7,12,6,8,6
422,844,6,11,7,7,6
423,846,9,12,10,8,8
424,848,8,10,8,7,8
425,850,7,10,8,7,7
426,852,6,9,7,7,7
427,854,5,9,7,6,7
428,856,5,8,6,19,6
429,858,5,13,6,16,5
430,860,4,12,6,13,5
431,862,4,11,5,12,5
432,864,5,12,8,13,8
433,866,4,11,7,11,7
434,868,5,13,7,10,7
435,870,4,19,7,9,6
436,872,5,17,7,8,6
437,874,4,15,7,6,6
438,876,4,13,6,6,18
439,878,4,12,13,5,16
440,880,4,12,12,5,14
441,882,5,12,13,8,15
442,884,4,11,11,7,13
443,886,4,11,9,6,14
444,888,3,10,9,7,13
445,890,3,10,8,5,12
446,892,4,13,8,3,11
447,894,4,12,8,5,10
448,896,4,11,7,5,13
449,898,3,10,7,16,10
450,900,4,11,10,17,13
451,902,4,10,9,28,11
452,904,4,10,8,24,10
453,906,3,9,20,30,8
454,908,3,12,17,25,8
455,910,3,15,15,20,8
456,912,3,14,26,18,7
457,914,3,12,22,15,8
458,916,3,11,20,13,7
459,918,4,12,20,14,14
460,920,6,11,18,13,18
461,922,5,10,14,11,16
462,924,5,14,11,10,14
463,926,4,13,10,10,13
464,928,4,12,9,9,12
465,930,3,11,8,21,10
466,932,3,13,7,18,9
467,934,4,12,7,16,8
468,936,4,16,10,17,10
469,938,4,15,9,29,9
470,940,4,13,8,24,8
471,942,4,12,11,21,7
472,944,4,12,13,17,6
473,946,3,11,12,16,4
474,948,3,15,10,14,4
475,950,3,14,8,12,4
476,952,3,14,8,10,3
477,954,4,14,12,12,7
478,956,3,13,10,11,6
479,958,3,12,9,10,7
480,960,3,11,8,7,6
481,962,3,10,21,7,6
482,964,3,10,17,11,6
483,966,3,10,15,10,6
484,968,6,9,12,17,7
485,970,6,9,11,15,20
486,972,6,10,13,16,20
487,974,5,9,11,14,17
488,976,5,9,11,13,15
489,978,4,9,9,13,23
490,980,4,8,7,11,19
491,982,4,8,7,10,16
492,984,3,8,7,13,14
493,986,3,8,6,12,12
494,988,3,8,8,11,11
495,990,4,9,10,13,12
496,992,3,8,9,11,11
497,994,4,8,9,10,9
498,996,3,8,7,13,8
499,998,6,8,7,12,16
500,1000,5,8,6,11,14
501,1002,5,7,5,9,12
502,1004,5,8,6,7,11
503,1006,5,7,6,6,10
504,1008,5,9,9,17,13
505,1010,5,9,6,14,11
506,1012,4,9,6,12,10
507,1014,4,8,7,11,9
508,1016,4,7,6,11,9
509,1018,4,7,6,10,8
510,1020,3,8,5,8,8
511,1022,3,8,5,8,7
512,1024,4,8,9,8,6
513,1026,5,9,10,23,9
514,1028,5,9,9,20,12
515,1030,9,11,9,17,11
516,1032,8,10,9,13,11
517,1034,7,9,8,12,9
518,1036,6,9,17,11,9
519,1038,5,9,16,10,9
520,1040,4,12,14,9,9
521,1042,4,19,13,7,21
522,1044,5,19,15,9,20
523,1046,4,16,13,9,17
524,1048,4,15,11,16,15
525,1050,3,14,10,14,23
526,1052,3,12,9,12,19
527,1054,3,11,11,12,16
528,1056,3,10,10,11,15
529,1058,3,9,9,10,13
530,1060,3,10,8,9,10
531,1062,4,11,9,12,12
532,1064,4,10,8,11,11
533,1066,4,10,6,10,11
534,1068,3,10,5,9,21
535,1070,3,17,5,8,18
536,1072,3,15,6,13,16
537,1074,4,14,6,11,14
538,1076,4,13,5,11,12
539,1078,3,20,5,9,11
540,1080,4,19,8,11,12
541,1082,4,17,7,10,10
542,1084,4,15,7,10,8
543,1086,4,14,7,9,8
544,1088,4,12,7,8,7
545,1090,4,12,6,7,7
546,1092,5,11,19,6,6
547,1094,4,10,15,9,5
548,1096,4,9,13,7,6
549,1098,5,10,27,9,8
550,1100,4,18,22,8,9
551,1102,3,16,19,6,6
552,1104,3,14,16,9,7
553,1106,3,13,14,9,7
554,1108,3,12,13,11,6
555,1110,3,12,11,10,4
556,1112,3,11,11,9,5
557,1114,3,10,11,8,5
558,1116,4,11,13,10,7
559,1118,4,11,10,9,6
560,1120,4,10,9,10,6
561,1122,3,10,7,16,6
562,1124,3,9,7,14,5
563,1126,3,9,7,13,5
564,1128,3,11,6,11,4
565,1130,3,15,5,10,5
566,1132,3,14,5,10,5
567,1134,4,14,7,12,8
568,1136,4,13,7,9,7
569,1138,4,13,6,9,7
570,1140,3,12,6,9,6
571,1142,7,11,5,8,6
572,1144,6,10,5,6,6
573,1146,5,11,4,10,6
574,1148,5,11,5,9,19
575,1150,4,10,5,7,17
576,1152,5,11,8,9,17
577,1154,9,10,8,8,15
578,1156,8,17,9,8,13
579,1158,7,15,9,8,10
580,1160,7,13,9,7,9
581,1162,6,12,8,7,8
582,1164,5,11,8,7,8
583,1166,5,11,8,7,9
584,1168,9,10,7,7,7
585,1170,9,12,10,11,9
586,1172,8,12,8,9,11
587,1174,7,11,7,9,10
588,1176,6,11,6,8,10
589,1178,6,9,7,7,9
590,1180,5,9,6,7,8
591,1182,5,9,6,7,11
592,1184,4,9,5,6,11
593,1186,4,12,12,6,22
594,1188,7,13,22,8,23
595,1190,6,12,19,8,19
596,1192,5,12,17,8,17
597,1194,5,12,15,8,18
598,1196,4,19,13,8,26
599,1198,4,17,10,7,23
600,1200,4,15,10,7,19
601,1202,4,14,8,7,16
602,1204,4,13,8,7,14
603,1206,5,13,18,9,15
604,1208,5,17,14,8,14
605,1210,4,15,13,8,13
606,1212,4,14,11,7,12
607,1214,4,13,10,20,11
608,1216,3,12,9,16,10
609,1218,3,12,21,13,10
610,1220,3,11,18,11,22
611,1222,3,10,16,10,19
612,1224,4,12,17,18,20
613,1226,4,12,15,16,17
614,1228,3,11,12,14,15
615,1230,4,11,11,18,13
616,1232,3,11,9,16,11
617,1234,3,10,8,13,9
618,1236,3,10,7,11,8
619,1238,3,9,6,8,8
620,1240,3,10,4,8,6
621,1242,4,11,7,9,21
622,1244,4,11,7,9,18
623,1246,4,11,6,9,15
624,1248,4,11,6,7,13
625,1250,5,10,5,7,12
626,1252,7,10,5,6,11
627,1254,6,10,6,6,10
628,1256,5,10,6,7,9
629,1258,5,10,6,6,9
630,1260,5,12,9,7,11
631,1262,5,11,8,6,9
632,1264,4,11,16,5,7
633,1266,4,11,14,5,8
634,1268,4,10,12,6,6
635,1270,3,10,13,7,6
636,1272,3,10,11,7,5
637,1274,3,10,11,11,5
638,1276,3,12,10,10,18
639,1278,4,13,12,12,18
640,1280,4,12,11,11,15
641,1282,4,12,9,10,22
642,1284,4,11,8,9,19
643,1286,4,10,8,8,16
644,1288,4,11,7,8,14
645,1290,4,10,5,6,12
646,1292,4,10,8,5,11
647,1294,3,10,19,6,9
648,1296,4,11,20,7,10
649,1298,6,11,17,7,9
650,1300,7,10,14,7,8
651,1302,6,9,12,7,8
652,1304,6,10,10,7,9
653,1306,4,10,9,7,8
654,1308,4,9,8,7,9
655,1310,4,10,21,6,8
656,1312,4,10,18,6,8
657,1314,5,12,18,9,9
658,1316,4,20,16,9,9
659,1318,4,17,13,8,9
660,1320,4,15,11,9,9
661,1322,3,15,10,8,8
662,1324,3,14,8,17,8
663,1326,3,13,8,14,7
664,1328,3,12,6,12,6
665,1330,3,11,18,10,5
666,1332,4,13,18,12,9
667,1334,4,12,17,10,21
668,1336,4,11,15,10,18
669,1338,4,11,22,11,15
670,1340,3,11,18,11,13
671,1342,3,10,16,9,12
672,1344,3,10,14,9,10
673,1346,3,18,13,9,8
674,1348,3,16,11,9,8
675,1350,4,17,13,10,9
676,1352,4,15,12,9,9
677,1354,4,14,11,8,8
678,1356,4,13,9,8,5
679,1358,4,12,13,7,5
680,1360,3,11,11,14,5
681,1362,3,10,11,13,6
682,1364,3,11,10,11,6
683,1366,3,11,8,10,7
684,1368,4,12,10,20,9
685,1370,4,11,9,16,8
686,1372,4,10,8,14,7
687,1374,4,10,7,12,6
688,1376,3,10,7,10,6
689,1378,8,10,7,8,7
690,1380,7,9,7,9,6
691,1382,7,16,12,7,5
692,1384,6,14,24,8,6
693,1386,6,15,23,10,9
694,1388,6,14,24,9,8
695,1390,5,13,20,9,8
696,1392,4,12,16,9,7
697,1394,4,12,14,9,7
698,1396,4,11,15,16,6
699,1398,4,11,12,14,6
700,1400,5,11,11,12,8
701,1402,4,11,10,10,6
702,1404,5,13,12,12,8
703,1406,4,12,17,10,8
704,1408,4,12,14,10,19
705,1410,4,13,12,9,16
706,1412,4,12,10,7,14
707,1414,4,13,21,6,13
708,1416,3,12,18,6,12
709,1418,3,12,21,7,9
710,1420,3,19,17,7,9
711,1422,7,19,18,9,11
712,1424,6,17,16,9,22
713,1426,5,16,15,8,19
714,1428,5,15,13,8,16
715,1430,4,14,12,7,14
716,1432,4,13,10,6,12
717,1434,3,13,10,6,10
718,1436,3,13,9,5,10
719,1438,3,13,8,5,9
720,1440,4,14,10,8,12
721,1442,4,14,9,9,24
722,1444,4,13,8,8,20
723,1446,4,12,8,7,28
724,1448,4,12,7,7,24
725,1450,6,11,7,6,20
726,1452,5,11,6,6,17
727,1454,5,19,5,5,16
728,1456,5,17,6,6,14
729,1458,5,18,8,8,14
730,1460,5,16,7,9,13
731,1462,4,21,7,8,12
732,1464,4,19,6,8,11
733,1466,4,17,6,7,9
734,1468,4,18,5,7,9
735,1470,3,16,5,5,8
736,1472,3,15,18,12,7
737,1474,3,14,15,14,7
738,1476,8,14,16,15,9
739,1478,9,13,14,13,8
740,1480,8,13,11,12,8
741,1482,6,13,9,10,8
742,1484,6,12,9,17,21
743,1486,5,12,7,15,21
744,1488,5,11,18,12,19
745,1490,4,11,16,11,30
746,1492,4,11,14,10,25
747,1494,4,13,15,12,23
748,1496,4,12,12,11,19
749,1498,4,12,16,11,17
750,1500,4,12,14,10,15
751,1502,4,11,13,10,14
752,1504,4,11,11,8,20
753,1506,3,11,9,9,17
754,1508,3,11,8,7,15
755,1510,3,11,8,7,13
756,1512,4,13,16,10,15
757,1514,4,12,14,8,14
758,1516,4,12,12,8,12
759,1518,6,11,10,7,12
760,1520,5,11,8,7,10
761,1522,5,10,6,7,9
762,1524,8,10,7,5,20
763,1526,7,10,6,5,17
764,1528,9,11,8,6,15
765,1530,9,13,11,8,17
766,1532,8,16,10,7,15
767,1534,7,15,11,8,14
768,1536,6,14,9,9,12
769,1538,5,14,7,8,20
770,1540,5,13,7,9,16
771,1542,4,13,5,7,26
772,1544,4,12,5,7,24
773,1546,4,12,4,6,20
774,1548,5,13,7,8,20
775,1550,4,13,6,7,18
776,1552,4,13,5,7,15
777,1554,3,12,5,6,13
778,1556,3,12,5,6,12
779,1558,3,11,6,7,11
780,1560,3,11,4,5,9
781,1562,2,10,4,5,9
782,1564,2,11,4,4,9
783,1566,3,12,7,7,14
784,1568,3,12,6,8,12
785,1570,3,13,6,6,13
786,1572,3,12,6,5,11
787,1574,3,20,5,6,10
788,1576,3,19,4,6,10
789,1578,3,21,17,19,9
790,1580,3,19,15,16,9
791,1582,3,18,13,13,8
792,1584,4,18,16,16,10
793,1586,4,17,14,18,9
794,1588,4,16,12,17,10
795,1590,6,15,10,13,9
796,1592,5,15,9,11,7
797,1594,5,14,8,10,7
798,1596,4,14,7,10,19
799,1598,6,13,7,9,16
800,1600,6,13,6,8,15
801,1602,6,14,9,10,16
802,1604,9,14,19,8,15
803,1606,8,12,23,7,13
804,1608,7,12,18,6,11
805,1610,6,11,16,5,10
806,1612,5,11,14,6,19
807,1614,8,11,13,5,16
808,1616,7,11,12,4,15
809,1618,6,11,10,4,14
810,1620,6,14,16,6,14
811,1622,6,14,14,6,12
812,1624,5,14,11,6,11
813,1626,5,14,10,5,10
814,1628,9,13,10,5,10
815,1630,10,13,8,6,9
816,1632,9,13,8,6,8
817,1634,7,12,8,6,7
818,1636,6,12,8,5,6
819,1638,7,14,11,8,8
820,1640,6,13,9,7,7
821,1642,5,14,8,6,6
822,1644,5,13,8,6,11
823,1646,4,13,8,6,9
824,1648,4,13,8,5,19
825,1650,4,12,6,5,20
826,1652,3,12,6,5,16
827,1654,3,12,6,5,14
828,1656,4,21,8,7,15
829,1658,4,19,8,7,13
830,1660,4,18,7,7,11
831,1662,3,16,6,6,11
832,1664,3,15,6,6,9
833,1666,3,14,5,5,8
834,1668,3,14,4,5,7
835,1670,2,13,5,5,7
836,1672,3,13,4,5,6
837,1674,4,14,7,8,8
838,1676,3,13,8,8,7
839,1678,3,12,7,7,7
840,1680,3,12,7,7,6
841,1682,3,12,6,7,6
842,1684,3,12,5,7,6
843,1686,3,12,5,7,6
844,1688,3,11,5,7,6
845,1690,3,11,5,6,6
846,1692,3,13,8,9,9
847,1694,3,12,7,7,7
848,1696,6,12,6,6,7
849,1698,5,11,7,7,6
850,1700,5,12,7,6,6
851,1702,4,12,6,7,6
852,1704,4,12,6,6,6
853,1706,3,12,7,5,5
854,1708,3,12,7,4,5
855,1710,4,13,8,7,8
856,1712,6,13,7,7,7
857,1714,5,14,10,7,14
858,1716,5,13,10,7,13
859,1718,4,13,9,8,12
860,1720,9,13,9,7,11
861,1722,7,13,8,6,10
862,1724,7,13,7,6,10
863,1726,6,14,8,6,8
864,1728,6,15,11,8,10
865,1730,6,14,11,8,9
866,1732,5,18,9,7,8
867,1734,5,23,9,14,8
868,1736,4,21,7,13,7
869,1738,4,19,6,20,9
870,1740,3,24,6,17,8
871,1742,3,27,5,14,7
872,1744,3,25,3,22,7
873,1746,4,24,6,22,10
874,1748,4,21,7,19,9
875,1750,4,19,7,17,8
876,1752,4,17,6,15,8
877,1754,7,17,5,13,6
878,1756,6,16,4,11,6
879,1758,5,15,5,11,5
880,1760,5,14,4,10,5
881,1762,5,14,3,9,5
882,1764,5,15,8,11,8
883,1766,5,15,6,10,9
884,1768,4,14,6,12,7
885,1770,5,14,6,11,6
886,1772,6,13,6,10,6
887,1774,5,13,7,9,4
888,1776,5,12,9,10,5
889,1778,4,12,9,10,5
890,1780,4,13,11,8,5
891,1782,5,14,13,13,7
892,1784,4,14,12,11,6
893,1786,4,17,10,10,6
894,1788,4,16,10,10,6
895,1790,3,15,11,9,5
896,1792,3,15,10,8,5
897,1794,5,14,10,6,6
898,1796,4,14,8,6,6
899,1798,4,14,7,5,19
900,1800,5,16,10,7,19
901,1802,4,16,9,6,16
902,1804,3,15,8,6,14
903,1806,3,14,8,4,13
904,1808,3,13,7,4,12
905,1810,3,13,7,17,11
906,1812,3,13,6,13,10
907,1814,3,13,5,11,9
908,1816,3,13,6,10,8
909,1818,4,14,13,11,10
910,1820,5,14,11,11,9
911,1822,4,14,11,9,17
912,1824,4,14,10,9,15
913,1826,3,14,15,7,16
914,1828,3,17,13,7,15
915,1830,3,16,12,6,12
916,1832,3,15,17,6,11
917,1834,3,14,15,5,12
918,1836,4,20,15,7,13
919,1838,4,17,14,7,12
920,1840,3,24,12,6,10
921,1842,4,22,11,6,9
922,1844,7,21,10,6,8
923,1846,9,20,10,5,7
924,1848,8,21,8,5,6
925,1850,7,19,7,7,5
926,1852,6,18,7,7,5
927,1854,6,21,9,9,9
928,1856,5,20,8,8,8
929,1858,5,19,8,12,11
930,1860,5,17,8,10,10
931,1862,5,21,7,10,17
932,1864,7,19,6,9,15
933,1866,6,18,9,8,14
934,1868,6,17,8,7,12
935,1870,5,16,8,7,11
936,1872,6,17,10,9,13
937,1874,5,16,8,8,10
938,1876,9,15,6,8,9
939,1878,8,14,6,7,19
940,1880,7,14,6,6,16
941,1882,6,13,7,6,13
942,1884,5,13,7,6,12
943,1886,5,12,6,5,12
944,1888,5,12,5,5,10
945,1890,6,14,8,7,12
946,1892,5,14,9,6,11
947,1894,4,13,8,6,10
948,1896,6,13,7,6,20
949,1898,5,13,7,6,18
950,1900,5,13,5,7,16
951,1902,4,15,6,7,15
952,1904,5,15,9,6,11
953,1906,4,15,9,6,8
954,1908,5,16,11,13,10
955,1910,5,17,10,12,9
956,1912,4,16,9,10,9
957,1914,4,16,10,9,9
958,1916,6,15,9,8,9
959,1918,5,21,8,8,8
960,1920,5,19,7,8,15
961,1922,4,17,6,8,13
